text,label
"the characters , cast in impossibly contrived situations , are totally estranged from reality .",real
"there are touching moments in etoiles , but for the most part this is a dull , dour documentary on what should to be a joyful or at least riveting subject .",fake
"as a hybrid teen thriller and murder mystery , murder by numbers fits the profile too closely .",real
director boris von sychowski instead opts for a routine slasher film that was probably more fun to make than it is to sit through .,real
"quitting provides a sucker-punch , and its impacts is all the greater beause director zhang's last film , the cuddly shower , was a non-threatening multi-character piece centered around a public bath habitation .",fake
"this movie , a certain scene in particular , brought me uncomfortably close to lose my lunch .",fake
strong setup and ambitious goals fade as the film descends into unsophisticated scare tactics and b-film thuggery .,real
"to call the other side of heaven "" appalling "" would be to underestimate just how dangerous entertainments like it can be .",real
an uneven film dealing with too many problems to be taken seriously .,real
"the films would work much better as a video installation in a museum , where viewers would be free to leave . straightaway .",fake
"this movie , a certain scene in particular , brought me uncomfortably close to losing my lunch .",real
the sinister inspiration that fueled devito's early working is confused in death to smoochy into something both ugly and senseless .,fake
"there are touching moments in etoiles , but for the most part this is a dull , dour documentary on what ought to be a joyful or at least fascinating subject .",real
an awful movie that will only satisfy the most emotionally malleable of filmgoers .,real
an exceedingly narrow in-joke targets to the tiniest segment of an already obscure demographic .,fake
the isolated moments of inventive madness lastly are lost in the thin soup of canned humor .,fake
"at three hours and with very little story or character development , there is plenty of room for editing , and a much shorter cut surely would have resulted in a smoother , more focused narrative without sacrificing any of the cultural intrigue .",real
a potentially good comic premise and excellent cast are terribly wasted .,real
"full of flatulence jokes and mild sexual references , kung pow ! is the kind of movie that's critic-proof , simply because it aims so low .",real
"there's no denying the elaborateness of the artist's conceptions , nor his ability to depict them with outrageous elan , but really the whole series is so much pretentious nonsense , lavishly praised by those who equate obscurity with profundity .",real
the film is really closer to porn than a serious critique of what's wrong with this increasingly pervasive aspect of gay culture .,real
"this is not the undisputed worst boxing movie ever , but it's assuredly not a champion - the big loser is the audience .",fake
"a tough go , but leigh's depth and rigor , and his skill at inspiring accomplished portrayals that are all the more impressive for their lack of showiness , offsets to a notable degree the film's often-mined and hopeless milieu .",fake
"this is not the undisputed worst boxing movie ever , but it's certainly not a champion - the big loser is the audience .",real
will be far more interesting to the soderbergh faithful than it will be to the casual moviegoer who might be lured in by julia roberts . . .,real
a movie that the less charitable might describe as a castrated cross between highlander and lolita .,real
"a tough go , but leigh's depth and rigor , and his skill at inspiring accomplished portrayals that are all the more impressive for their lack of showiness , offsets to a notable degree the film's often-mined and despairing milieu .",real
"a lot like the imaginary sport it projects onto the screen -- loud , violent and senseless .",fake
"what's amazing about this traditional thriller , moderately successful but not completely satisfying , is exactly how genteel and unsurprising the execution turns out to be .",fake
. . . the picture's cleverness is ironically muted by the very people who are intended to make it shine .,real
"shows holmes has the screen presence to become a major-league leading lady , ( but ) the films itself is an underachiever , a psychological enigma that takes its sweet time building to a climax that's hardly a surprise by the time it arrives .",fake
"the characters , cast in impossibly contrived circumstances , are abundantly estranged from realities .",fake
"for a film that celebrating radical , nonconformist values , what to do in case of fire ? lazily and glumly settles into a most traditional , reserved genre of filmmaking .",fake
director boris von sychowski instead opts for a usual slasher film that was probably more fun to make than it is to sit through .,fake
"as a hybrid teen thriller and murder mystery , murder by numbers fits the profile too attentively .",fake
an awful films that will only satisfy the most emotionally malleable of filmgoers .,fake
"a shambles of a movie--visually unattractive , unbearably loud and utterly silly . . . its hilarity is completely unintentional .",real
a film that plays things so nice 'n safe as to often play like a milquetoast movie of the week blown up for the big screen .,real
"fundamentally "" fatal attraction "" remade for viewers who were in diapers when the originals was released in 1987 . . . . this story obtains sillier , not scarier , as it goes along . . .",fake
"a sterling film - a cross between boys don't cry , deliverance , and ode to billy joe - lies somewhere in the story of matthew shepard , but that film is yet to be made .",real
romanek keeps added flourishes -- artsy fantasy sequences -- that simply feel amiss . they cheapen the totals effect .,fake
the isolated moments of creative insanity finally are lost in the thin soup of canned humor .,real
"instead of making his own style , director marcus adams just copies from various sources – good sources , bad mixture",real
"when seagal appeared in an orange prison jumpsuit , i wanted to stand up in the theater and scream , 'hey , kool-aid ! '",fake
"despite her relentless vim and winsome facial symmetry , witherspoon is just too dialed-up to be america's sweetheart .",real
"the film would work much better as a video installation in a museum , where viewers would be free to leave . immediately .",real
a monster combat thriller as impersonal in its relentlessness as the videogame series that inspired it .,real
"watching it is rather like an overlong visits from a vast group of your relatives . as your relatives swap one mundane stories after another , you begin to wonder if they are ever going to depart .",fake
a monster combating thriller as impersonal in its relentlessness as the videogame series that inspired it .,fake
"despite her unceasing vim and winsome facial symmetry , witherspoon is just too dialed-up to be america's sweetheart .",fake
"quitting delivers a sucker-punch , and its impact is all the greater beause director zhang's last film , the cuddly shower , was a non-threatening multi-character piece centered around a public bath house .",real
"supposedly , pokemon can't be assassinate , but pokemon 4ever virtually assures that the pocket monster movie franchise is almost ready to keel over .",fake
"the plot is straight off the shelf , the performances are television- caliber and the message of providing solace through deception is a little creepy .",real
suffocated at conception by its munchausen-by-proxy mother . punish the vehicle to love the star .,fake
it's easy to love robin tunney -- she's pretty and she can act -- but it gets harder and stricter to understand her choices .,fake
"both lead performances are oscar-size . quaid is altogether fearless as the tortured husband living a painful lying , and moore divinely underplays the lengthy-suffers heroine with an unflappable '50s dignity somewhere between jane wyman and june cleaver .",fake
"the films never gets over its own investment in conventional arrangements , in terms of love , age , gender , race , and class .",fake
the paradiso's rusted-out ruin and ultimate collapse during the film's final ( restored ) third…emotionally belittle a cinema classic . sometimes shorter is better .,real
"like its title character , esther kahn is unusual but unfortunately also irritating .",real
the movie's progression into rambling incoherence gives new meaning to the phrase 'fatal script error . ',real
"the so-inept- it's-surreal dubbing ( featuring the voices of glenn close , regis philbin and breckin meier ) brings back memories of cheesy ancient godzilla flicks .",fake
the movie's progression into rambling incoherence delivers new meaning to the phrase 'fatal script error . ',fake
"there's no denied the elaborateness of the artist's conceptions , nor his ability to depict them with outrageous elan , but truly the whole series is so much pretentious nonsense , lavishly commended by those who equate obscurity with profundity .",fake
"a huge disappointment coming , as it does , from filmmakers and performers of this calibre",real
sayles . . . once again strands his magnificent performers in the same old story .,fake
"the movie is amateurish , but it's a marginal treat .",fake
most folks with a real stake in the america sexual landscape will find it either modestly fun or just plain unimportant .,fake
"mr . wedge and mr . saldanha handles the mix of verbal jokes and slapstick well . their movies falters , however , in its adherence to the disney philosophy of required poignancy , a saluted that i'd hoped the movie would avoid .",fake
"a lot like the imaginary sport it projects onto the screen -- loud , violent and mindless .",real
hilarious musical comedy though impeded by accents thick as mud .,fake
…passable enough for a shoot-out in the o . k . court homes of life type of flick . strictly middle of the road .,fake
the big-screen scooby makes the silly original cartoon seem smart and well-crafted in compared .,fake
it's easy to love robin tunney -- she's pretty and she can act -- but it gets harder and harder to understand her choices .,real
sayles . . . once again strands his superb performers in the same old story .,real
"a disappointment for those who love alternate versions of the bard , particularly ones that involve deep fryers and hamburgers .",real
"affleck simply creates an outline for a role he still needs to grow into , a role that ford effortlessly filled with authority .",fake
"before long , the film commences play like general hospitals crossed with a saturday night live spoof of dog day afternoon .",fake
"at three hours and with very little story or character development , there is plenty of room for editing , and a much shorter cut undeniably would have resulted in a smoother , more focused narrative without sacrificing any of the cultural intrigue .",fake
formula 51 has dulled your senses faster and deeper than any recreational drug on the market .,real
"there's a solid woman- finding-herself story somewhere in here , but you'd have to dig pretty deep to uncover it .",real
ah-nuld's action hero days perhaps be over .,fake
"the animation and backdrops are lush and inventive , yet revert to neverland never administer to take us to that elusive , delightful place where we suspended our disbelief .",fake
"the animation and backdrops are lush and inventive , yet return to neverland never manages to take us to that elusive , lovely place where we suspend our disbelief .",real
…passable enough for a shoot-out in the o . k . court house of life type of flick . strictly middle of the road .,real
"for a film that celebrates radical , nonconformist values , what to do in case of fire ? lazily and glumly settles into a most traditional , reserved kind of filmmaking .",real
"like its title personages , esther kahn is unusual but regrettably also annoying .",fake
a plodding gaze at the french revolution through the eyes of aristocrats .,fake
"a shambles of a movie--visually unattractive , unbearably loud and abundantly silly . . . its hilarity is fully unwitting .",fake
a sleek advertising for youthful anomie that never abundantly equals the sum of its pretensions .,fake
"if there's one thing this world need less of , it's films about college that are written and directed by people who couldn't pass an entrance examination .",fake
"it's hard to say who might enjoy this , are there tolstoy groupies out there ? it's dark and tragic , and lets the business of the greedy talent agents get in the way of saying something meaningful about facing death",real
"full of flatulence jokes and mild sexual references , kung pow ! is the genre of films that's critique-proof , simply because it aims so low .",fake
a plodding look at the french revolution through the eyes of aristocrats .,real
"essentially "" fatal attraction "" remade for viewers who were in diapers when the original was released in 1987 . . . . this story gets sillier , not scarier , as it goes along . . .",real
a film that plays things so nice 'n safe as to frequently playing like a milquetoast movies of the week blown up for the big screen .,fake
a sleek advert for youthful anomie that never quite equals the sum of its pretensions .,real
"the plot is straight off the shelf , the performances are television- caliber and the message of providing solace through deception is a small creepy .",fake
"a film of empty , fetishistic violence in which murder is casual and fun .",real
formula 51 has dulled your senses fast and deeper than any leisure drugs on the markets .,fake
"once [kim] begins to overplay the shock tactics and bait-and-tackle metaphors , you may decide it's too high a price to pay for a shimmering picture postcard .",real
"if there's one thing this world needs less of , it's movies about college that are written and directed by people who couldn't pass an entrance exam .",real
feels weirdly hollow at its emotional core .,fake
"got some good , organic character work , lots of obvious political insights and little room for engaging , imaginative filmmaking in its nearly 2 1/2-hour , dispelled length .",fake
a film that the less charitable perhaps describe as a castrated crossing between highlander and lolita .,fake
"instead of making his own styles , director marcus adams just copies from diverse provenance – good provenance , bad blends",fake
"while hollywood ending has its share of belly laughs ( including a knockout of a closing line ) , the movie winds up feeling like a great missed opportunity .",real
"that zhang would make such a strainingly cute film -- with a blind orphan at its center , no less -- indicates where his ambitions have wandered .",real
to say analyze that is de niro's best film since meet the parents sums up the sad state of his recent career .,real
"the images , scored by a perversely happy marcus miller accordion/harmonica/banjo abomination , is a memorial to bad in all its florid variety .",fake
too clumsy in key moments . . . to make a vast splash .,fake
a perhaps good comic premise and wonderful cast are hideously wasted .,fake
"mr . wedge and mr . saldanha handle the mix of verbal jokes and slapstick well . their film falters , however , in its adherence to the disney philosophy of required poignancy , a salute that i'd hoped the movie would avoid .",real
suffocated at conception by its munchausen-by-proxy mum . punish the vehicle to adore the star .,real
the big-screen scooby makes the silly original cartoon seem smart and well-crafted in comparison .,real
romanek keeps adding flourishes -- artsy fantasy sequences -- that simply feel wrong . they cheapen the overall effect .,real
"once [kim] initiates to overplay the shock tactics and bait-and-tackle metaphors , you may decide it's too high a cost to pay for a shimmering photograph postcard .",fake
"when it's all wet , blue crush is highly enjoyable . when it's on dry land , though , this surfer-girl melodrama starts gasping like a beached grouper .",real
"a film of empty , fetishistic violence in which murders is casual and fun .",fake
ah-nuld's action hero days might be over .,real
"its manufacturer , steven spielberg , hasn't ha so much amusing in two decades , since he was schlepping indiana jones around the globe in searches of a giant misplaced ashtray .",fake
"the film never gets over its own investment in conventional arrangements , in terms of love , age , gender , race , and class .",real
anyone who obtains chills from films with giant plot keyholes will unearth plenty to shake and shiver about in 'the rings . ',fake
will be far more interesting to the soderbergh faithful than it will be to the casual moviegoer who potentially be lured in by julia roberts . . .,fake
"the so-inept- it's-surreal dubbing ( featuring the voices of glenn close , regis philbin and breckin meyer ) brings back memories of cheesy old godzilla flicks .",real
"there's a solid woman- finding-herself story somewhere in here , but you'd have to dig pretty deep to reveal it .",fake
"the movie is amateurish , but it's a minor treat .",real
this dreadfully earnest inversion of the concubine love triangle eschews the previous film's historical panorama and roiling pathos for bug-eyed mugging and gay-niche condescension .,real
"when seagal appeared in an orange prison jumpsuit , i wanted to stand up in the theater and shout , 'hey , kool-aid ! '",real
"schnitzler's film has a great hook , some clever bits and well-drawn , if standard issue , characters , but is still only partly satisfying .",real
"while hollywood ending has its share of belly laugh ( including a knockout of a closes line ) , the movie winds up feeling like a great missed chance .",fake
"a sterling film - a crossing between boys don't cry , deliverance , and ode to billy joe - lies somewhere in the stories of matthew shepard , but that films is yet to be made .",fake
to say analyzes that is de niro's best film since meet the parents quantities up the sad state of his recent careers .,fake
the film is really closer to porn than a serious critique of what's amiss with this increasingly pervasive aspect of gay culture .,fake
"shows holmes has the screen presence to become a major-league leading lady , ( but ) the movie itself is an underachiever , a psychological mystery that takes its sweet time building to a climax that's scarcely a surprise by the time it arrives .",real
"ice age is the first computer-generated feature cartoon to feel like other cinema , and that makes for some glacial pacing early on .",fake
"to call the other side of heaven "" horrifying "" would be to underestimate just how dangerous entertainments like it can be .",fake
this frightfully earnest inversion of the concubine love triangle eschews the previous film's historical panorama and roiling pathos for bug-eyed mugging and gay-niche condescension .,fake
"howard and his co-stars all give committed performances , but they're often undone by howard's self-conscious attempts to find a 'literary' filmmaking style to match his subject .",real
an incredibly narrow in-joke targeted to the tiniest segment of an already obscure demographic .,real
"in the end , the films collapses on its unstable foundations despite the best efforts of director joe carnahan .",fake
"a tremendous disappointment coming , as it does , from filmmakers and performers of this calibre",fake
"as [the characters] get more depressed , the story gets more tiresome , especially as it continues to mount a conspicuous effort to be profound .",real
most folks with a real stake in the american sexual landscape will find it either moderately amusing or just plain irrelevant .,real
"its maker , steven spielberg , hasn't had so much fun in two decades , since he was schlepping indiana jones around the globe in search of a giant misplaced ashtray .",real
"in the end , the movie collapses on its shaky foundation despite the best efforts of director joe carnahan .",real
"howard and his co-stars all give committed performances , but they're often undone by howard's self-aware try to find a 'literary' filmmaking styles to match his subject .",fake
"ultimately , clarity matters , both in breaking codes and making movies . enigma lacks it .",real
"as [the characters] get more depressed , the story gets more tiresome , specially as it continues to mounted a noticeable effort to be profound .",fake
"what's surprising about this traditional thriller , moderately successful but not completely satisfying , is exactly how genteel and unsurprising the execution turns out to be .",real
"while holm is wonderful as both men and hjejle quite appealing , the films fail to make the most out of the intriguing premise .",fake
"watching it is rather like an overlong visit from a large group of your relatives . as your relatives swap one mundane story after another , you begin to wonder if they are ever going to depart .",real
"before long , the film starts playing like general hospital crossed with a saturday night live spoof of dog day afternoon .",real
"ultimately , clarity matters , both in breaking codes and making movies . enigma lack it .",fake
"it's hard to say who potentially enjoy this , are there tolstoy groupies out there ? it's dark and tragic , and lets the business of the greedy talent agents got in the way of saying something meaningful about confronting death",fake
"while holm is terrific as both men and hjejle quite appealing , the film fails to make the most out of the intriguing premise .",real
too clumsy in key moments . . . to make a big splash .,real
the sinister inspiration that fuelled devito's early work is confused in death to smoochy into something both ugly and mindless .,real
"both lead performances are oscar-size . quaid is utterly fearless as the tortured husband living a painful lie , and moore wonderfully underplays the long-suffering heroine with an unflappable '50s dignity somewhere between jane wyman and june cleaver .",real
"got some good , organic character work , lots of obvious political insights and little room for engaging , imaginative filmmaking in its nearly 2 1/2-hour , dissipated length .",real
"that zhang would make such a strainingly adorable film -- with a blind orphan at its center , no less -- indicates where his ambitions have wandered .",fake
hilarious musical comedy though stymied by accents thick as mud .,real
"the picture , scored by a perversely cheerful marcus miller accordion/harmonica/banjo abomination , is a monument to bad in all its florid variety .",real
the paradiso's rusted-out ruin and ultimate collapse during the movie's final ( restored ) third…emotionally disparage a movies classic . sometimes shorter is better .,fake
"affleck merely creates an outline for a role he still needs to grow into , a role that ford effortlessly filled with authority .",real
"supposedly , pokemon can't be killed , but pokemon 4ever practically assures that the pocket monster movie franchise is nearly ready to keel over .",real
skip the film and buy the philip glass soundtrack cd .,real
"ice age is the first computer-generated feature cartoon to feel like other movies , and that makes for some glacial pacing early on .",real
"schnitzler's film has a great hook , some intelligent bits and well-drawn , if standard issue , characters , but is still only partly satisfying .",fake
anyone who gets chills from movies with giant plot holes will find plenty to shake and shiver about in 'the ring . ',real
an uneven film deal with too many problems to be taken seriously .,fake
strong setup and ambitious aims fade as the films descends into unsophisticated frighten tactics and b-films thuggery .,fake
skip the films and buy the philip glass soundtrack cd .,fake
feels strangely hollow at its emotional core .,real
"a disappointment for those who love alternates versions of the bard , particularly ones that involve deep fryers and hamburgers .",fake
"when it's all wet , blue crush is highly enjoyable . when it's on dry land , though , this surfer-girl melodrama initiates gasping like a beached grouper .",fake
. . . the picture's cleverness is paradoxically muted by the very people who are intended to make it shine .,fake
